00:11:48.758 [main] INFO  i.g.g.L.LcKonnectIngestorApplication - Starting LcKonnectIngestorApplication using Java 21.0.2 with PID 8651 (/Users/gyuyoungpark/Desktop/project/LCKonnect-Ingestor/build/classes/java/main started by gyuyoungpark in /Users/gyuyoungpark/Desktop/project/LCKonnect-Ingestor)
00:11:48.760 [main] INFO  i.g.g.L.LcKonnectIngestorApplication - No active profile set, falling back to 1 default profile: "default"
00:11:49.076 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
00:11:49.077 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:11:49.095 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
00:11:49.289 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
00:11:49.297 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
00:11:49.298 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:11:49.299 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
00:11:49.331 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:11:49.332 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 553 ms
00:11:49.716 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
00:11:49.726 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
00:11:49.732 [main] INFO  i.g.g.L.LcKonnectIngestorApplication - Started LcKonnectIngestorApplication in 1.183 seconds (process running for 1.437)
00:11:56.980 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
00:11:56.981 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
00:11:56.981 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
00:11:56.997 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKCrawlerV1 - LckcrawlerV1: Start crawling...
00:12:02.116 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
